chr2R	4501108	4619017
chr2R	4622818	5360220
chr2R	5363442	5415830
chr2R	5421712	5494350
chr2R	5497943	5651454
chr2R	5656526	5661824
chr2R	5664516	5670545
chr2R	5700321	5702158
chr2R	5969812	5973573
chr2R	6254222	6282655
chr2R	6293121	6487713
chr2R	6615236	6617109
chr2R	6989387	6990705
chr2R	7501283	7509635
chr2R	7567923	7581900
chr2R	7794335	7801110
chr2R	7932432	7940011
chr2R	7976894	7982488
chr2R	8133104	8134804
chr2R	8210171	8225771
chr2R	8928935	8938822
chr2R	9167483	9176751
chr2R	9314640	9317703
chr2R	9470132	9476865
chr2R	9881673	9899108
chr2R	10889250	10891383
chr2R	11854075	11861450
chr2R	11865547	11884650
chr2R	12117008	12121081
chr2R	12195209	12198127
chr2R	13812296	13818003
chr2R	13873359	13878151
chr2R	14613017	14616208
chr2R	14858886	14860247
chr2R	15519603	15526747
chr2R	16050343	16054088
chr2R	16083789	16088822
chr2R	16589888	16590882
chr2R	16755657	16759469
chr2R	17031783	17053487
chr2R	17524639	17527409
chr2R	17744458	17746323
chr2R	17772819	17780978
chr2R	19426777	19436159
chr2R	20281900	20285983
chr2R	21185211	21191206
chr2R	21288092	21289250
chr2R	21304172	21311522
chr2R	21316025	21316850
chr2R	21619527	21623997
chr2R	22484534	22491609
chr2R	22630497	22632356
chr2R	22847635	22853134
chr2R	22888697	22895812
chr2R	22910592	22913498
chr2R	22919867	22923912
chr2R	23359247	23376884
chr2R	23387145	23409480
chr2R	23674455	23677769
chr2R	23899382	23904142
chr2R	23909601	23922643
chr2R	23956790	23957241
chr2R	24049134	24056655
chr2R	24084243	24085197
chr2R	24087819	24113429
chr2R	24602879	24610236
chr2R	24885638	24887199
chr2R	24904941	24921815
chr2R	24970977	24977197
